iter	Passed	Remaining
408	4883	7056
409	4888	7034
410	4892	7011
411	4898	6990
412	4903	6969
413	4908	6947
414	4913	6925
415	4918	6905
416	4922	6882
417	4928	6861
418	4932	6839
419	4937	6818
420	4941	6796
421	4945	6774
422	4950	6752
423	4954	6730
424	4957	6707
425	4961	6684
426	4964	6662
427	4968	6640
428	4971	6617
429	4975	6595
430	4978	6573
431	4982	6551
432	4985	6528
433	4989	6506
434	4992	6484
435	4995	6462
436	4999	6440
437	5002	6418
438	5005	6396
439	5008	6375
440	5012	6353
441	5015	6332
442	5019	6310
443	5022	6289
444	5026	6268
445	5029	6247
450	4828	5877
451	4833	5859
452	4838	5841
453	4841	5823
454	4846	5805
455	4851	5788
456	4857	5771
457	4862	5754
458	4867	5736
459	4871	5719
460	4876	5701
461	4880	5683
462	4885	5666
463	4890	5461	464	4893	5462	465	4898	5463	466	4911	5464	467	4918	5465	468	4925	5576
469	4934	5564
470	4941	5468	471	4950	5537
472	4956	5522
473	4966	5511
474	4973	5496
475	4979	5482
476	4988	5469
477	4997	5457
478	5005	5444
479	5011	5429
480	5020	5417
481	5028	5403
482	5036	5390
483	5041	5375
484	5047	5360
485	5061	5353
486	5073	5344
487	5081	5331
488	5089	5318
489	5098	5306
490	5112	5299
491	5123	5289
492	5131	5277
493	5139	5264
494	5149	5253
495	5155	5238
496	5163	5225
497	5171	5212
498	5182	5203
499	5188	5188
500	5196	5175
501	5204	5162
502	5211	5148
503	5217	5134
504	5225	5122
505	5238	5113
506	5246	5101
507	5254	5088
508	5264	5078
509	5270	5063
510	5278	5051
511	5286	5038
512	5300	5031
513	5308	5019
514	5314	5004
515	5323	4993
516	5330	4979
517	5336	4965
518	5342	4951
519	5347	4936
520	5353	4921
521	5358	4907
522	5363	4892
523	5369	4877
524	5375	4863
525	5381	4849
526	5386	4834
527	5392	4820
528	5398	4806
529	5403	4792
530	5409	4778
531	5414	4763
532	5420	4749
533	5426	4735
534	5431	4721
535	5437	4706
536	5443	4692
